OBJECTID,SPAWN,SITE1,Site1_Name,SITE2,Site2_Name,YEAR_,Shape.STArea(),Shape.STLength(),longitude,latitude
1,1,wpb,Willapa Bay, , ,0,196301566.05044284,111801.43485150264,-123.9855307900816,46.56687437069937
2,1,wpb,Willapa Bay, , ,0,33025805.804886926,27316.732314012515,-124.03836722880412,46.617131551059074
3,1,gh,Grays Harbor, , ,0,154516.7805853625,1594.5926822294423,-124.0290226294064,46.844518066757686
4,1,gh,Grays Harbor, , ,0,168244.90746927084,2438.615542805847,-124.06813489833344,46.846352676150225
5,1,gh,Grays Harbor, , ,0,633176.252799146,6434.548762124854,-124.06316011429583,46.84756281124242
6,1,gh,Grays Harbor, , ,0,139463.29338489712,1689.905545949667,-124.05818651255908,46.850595415255555
7,1,gh,Grays Harbor, , ,0,181096.4237093849,1661.3594020198643,-124.07665225791679,46.85119905140675
8,1,gh,Grays Harbor, , ,0,1949096.3911026723,20886.70526271786,-124.04044988479473,46.85225893946297
9,1,gh,Grays Harbor, , ,0,1286095.3717354373,13530.283269796068,-124.03421514005727,46.856084458612045
10,1,gh,Grays Harbor, , ,0,685263.3063022873,6450.052193598587,-124.04555617217638,46.85680930458115
11,1,gh,Grays Harbor, , ,0,1211174.222972151,7439.2475533752,-124.05826930031647,46.857964380972184
12,1,gh,Grays Harbor, , ,0,156025.04046448602,1737.8031674374577,-124.0731924837476,46.85769153172795
13,1,gh,Grays Harbor, , ,0,107761.00730658739,1279.4650604403182,-124.06780289702047,46.85827673528242
14,1,gh,Grays Harbor, , ,0,793702.504857085,7594.286789805969,-124.0425602592694,46.86282391912038
15,1,gh,Grays Harbor, , ,0,282387.4630158508,3505.9900997622826,-124.07196791248944,46.86260921958241
16,1,gh,Grays Harbor, , ,0,1788640.4015111127,17718.12761930255,-124.03106497104396,46.87217056939079
17,1,gh,Grays Harbor, , ,0,642469.1906473148,5036.599088430476,-124.02920094986368,46.874025289423
18,1,gh,Grays Harbor, , ,0,5430471.166347745,37033.02071924475,-124.0533926383002,46.8792292423743
19,1,gh,Grays Harbor, , ,0,423392.18868905946,2805.770561046064,-124.07536505181737,46.898167341222155
20,1,gh,Grays Harbor, , ,0,1175788.9391401708,7339.997608240343,-124.0980701063222,46.903665555937664
21,1,gh,Grays Harbor, , ,0,94441.75867580631,1178.9914321844205,-124.10528350765576,46.9050290807513
22,1,gh,Grays Harbor, , ,0,763491.614728493,7529.243522894803,-124.11525317702241,46.91152695134922
23,1,gh,Grays Harbor, , ,0,1585362.9392834874,11070.028102754977,-124.11238850276693,46.94861586243688
24,1,gh,Grays Harbor, , ,0,230424.7574873898,3753.3468771346616,-124.12785275295857,46.949584754612566
25,1,gh,Grays Harbor, , ,0,119235.70381065716,1798.4732955441546,-124.12883576933028,46.95091840873768
26,1,gh,Grays Harbor, , ,0,107619.03178398864,1676.8678405935084,-124.12774649998417,46.95120190292935
27,1,sqx,Squaxin Island, , ,0,2226601.376072042,8975.678480124243,-122.98525237998783,47.150497435116925
28,1,sqx,Squaxin Island, , ,0,8130534.166239852,23024.67278365696,-122.95826351708749,47.157269545472815
29,1,sqx,Squaxin Island, , ,0,461469.617069198,3213.3019408654477,-123.02019131936179,47.15216762172038
30,1,sqx,Squaxin Island, , ,0,1455978.0394248965,6527.668544302562,-122.90150681205651,47.17304409926149
31,1,sqx,Squaxin Island, , ,0,3086627.374434769,18222.26516123729,-122.93830617216625,47.18637948884247
32,1,wob,Wollocet Bay, , ,0,172943.38193269548,2029.867794228964,-122.5967686727412,47.2673940910311
33,1,wob,Wollocet Bay, , ,0,456418.17682969937,2868.670476674829,-122.59184541696112,47.27188223173711
34,1,wob,Wollocet Bay, , ,0,4550779.140595729,31442.60401903982,-122.60933303847523,47.29396147097094
35,1,pdy,Purdy, , ,0,68123980.47871256,184296.22535248846,-122.72924069972628,47.3194883252025
36,1,qmh,Quartermaster Harbor, , ,0,53862902.80126189,179236.8056529957,-122.43924831607815,47.40532175170687
37,1,shc,South Hood Canal, , ,0,72313207.82025422,166569.2423808188,-122.85361568027682,47.430412219668426
38,1,elb,Elliot Bay, , ,0,661842.4192123982,10539.105715974178,-122.36970814113954,47.62458261291118
39,1,pom,Port Orchard-Port Madison, , ,0,1413288.400948872,4975.593695941286,-122.6925443044168,47.633530066900455
40,1,qb,Quilcene Bay, , ,0,7158721.279241154,22468.215745262387,-122.85528852035868,47.6466260891414
41,1,qb,Quilcene Bay, , ,0,10819864.928921334,40705.01476868239,-122.82899475061191,47.65716552682773
42,1,pom,Port Orchard-Port Madison, , ,0,86557.00172060177,2147.800929598725,-122.5905406385021,47.66267474175514
43,1,qb,Quilcene Bay, , ,0,14849130.695621472,35161.11702487924,-122.90272434760645,47.66135754478991
44,1,pom,Port Orchard-Port Madison, , ,0,15955146.959030444,54676.8686078168,-122.61393245853732,47.69668283251316
45,1,qb,Quilcene Bay, , ,0,341495.7887215706,2552.478504826055,-122.891328231999,47.69822538258173
46,1,qb,Quilcene Bay, , ,0,10192595.479120439,22011.237712329137,-122.8846635677812,47.704430299097496
47,1,pom,Port Orchard-Port Madison, , ,0,68247252.35932656,204128.5746712947,-122.49292784095722,47.794971266419005
48,1,qb,Quilcene Bay, , ,0,9546151.429598542,72669.31175631208,-122.85207366980924,47.73627090364876
49,1,qb,Quilcene Bay, , ,0,184950.4765974043,2048.970973343427,-122.86217498777836,47.768920897032935
50,1,qb,Quilcene Bay, , ,0,75580.99500983964,1940.2580289351831,-122.86402893114374,47.77260970984139
51,1,qb,Quilcene Bay, , ,0,245454.02246688484,2979.94669374649,-122.86394000422817,47.780342533624726
52,1,qb,Quilcene Bay, , ,0,147547.41238847398,2036.9744277391433,-122.86652374197504,47.78514574072286
53,1,qb,Quilcene Bay, , ,0,17657.057117863755,624.7472977508912,-122.87052266311707,47.80888487085249
54,1,qb,Quilcene Bay, , ,0,27394148.87849316,39451.20004364239,-122.84963003431055,47.813987139586466
55,1,pgm,Port Gamble, , ,0,7201932.010728989,21427.27094876557,-122.682453707716,47.868270265957804
56,1,pgm,Port Gamble, , ,0,59391790.05024161,181465.53997391363,-122.61363579014278,47.92452631911241
57,1,ps,Port Susan, , ,0,2059095.5745527856,6466.457792759153,-122.35506439262161,48.05712509054731
58,1,dib,Discovery Bay, , ,0,17650370.951641135,93500.96857712328,-122.91013336173502,48.05724334550916
59,1,seq,Sequim Bay, , ,0,4837256.327809133,24175.851630110024,-123.04064178459281,48.059265136347825
60,1,hh,Holmes Harbor, , ,0,46617054.70797117,180556.19921862107,-122.5324478156506,48.10282516407998
